year,avg_temp
1763,10.39
1764,10.99
1765,10.72
1766,10.5
1767,10.69
1768,11.22
1769,11.1
1770,10.96
1771,11.15
1772,11.39
1773,10.9
1774,10.46
1775,11.01
1776,10.613524981833333
1777,10.449064100833334
1778,10.55
1779,11.45
1780,10.9001158955
1781,10.78
1782,10.505652632166669
1783,11.49
1784,10.4912149305
1785,10.376772272833334
1786,9.929919674916666
1787,10.74
1788,11.06
1789,11.04
1790,11.69
1791,11.63
1792,10.85
1793,11.02
1794,11.66
1795,11.329324371416666
1796,11.680813559416668
1797,11.25
1798,9.88
1799,10.2
1800,10.74
1801,11.21
1802,11.18
1803,11.153699045166666
1804,11.38
1805,10.5
1806,11.67
1807,11.67
1808,10.495408247
1809,11.267950428166666
1810,11.267136835166667
1811,11.48
1812,10.056887359583332
1813,11.056731682333334
1814,9.85516589175
1815,9.913070916333332
1816,9.030000000000001
1817,9.200000000000001
1818,9.06
1819,8.73
1820,9.920754902333337
1821,10.100000000000001
1822,9.74
1823,9.750000000000002
1824,10.198557000000001
1825,10.39
1826,10.32545418941667
1827,9.881135833000002
1828,10.090000000000002
1829,9.72
1830,10.05
1831,10.292696492500001
1832,9.380071260333334
1833,9.304381355083336
1834,10.150000000000002
1835,9.517069252750002
1836,9.6546257275
1837,9.317695852666667
1838,9.127761200416664
1839,9.299999999999999
1840,9.246635437916666
1841,9.98929211533333
1842,9.65933782383333
1843,9.85481595983333
1844,9.453717152249997
1845,9.179578846499998
1846,9.819999999999999
1847,9.742688541499996
1848,10.178661373249998
1849,9.598834763666664
1850,9.566272612499999
1851,9.450328597999999
1852,9.99934994916667
1853,9.5597572285
1854,9.260286283416669
1855,9.52
1856,9.70848380925
1857,9.840000000000002
1858,10.200000000000001
1859,9.720000000000002
1860,10.030000000000001
1861,9.644207227583337
1862,9.758303729250002
1863,10.290000000000003
1864,9.500000000000002
1865,9.964067704083332
1866,9.415077830166668
1867,9.012628046916667
1868,9.131034759583335
1869,9.474252480583333
1870,9.8275851595
1871,9.780668259833332
1872,9.675083549666665
1873,9.871226796916664
1874,9.87922805458333
1875,9.249999999999998
1876,9.223824790916666
1877,9.435019963666669
1878,10.02883991075
1879,9.262488108833331
1880,9.784744246416667
1881,9.58120620133333
1882,9.128836901416664
1883,9.18
1884,8.79
1885,9.339999999999998
1886,9.269999999999998
1887,9.409999999999998
1888,9.149999999999999
1889,9.487116158583335
1890,9.29
1891,9.590000000000002
1892,9.494646255583334
1893,9.897539604166667
1894,9.74
1895,9.887986760666667
1896,10.000000000000002
1897,9.800000000000002
1898,9.893227909250005
1899,10.352533387333335
1900,9.890000000000002
1901,10.280000000000003
1902,10.456651025750002
1903,10.345389649166668
1904,10.159455777166668
1905,10.469659893916669
1906,10.340000000000002
1907,10.040000000000003
1908,10.410000000000002
1909,10.298354556583336
1910,10.350000000000001
1911,10.390000000000002
1912,10.026243747333336
1913,10.140000000000002
1914,10.290000000000001
1915,10.413982055833333
1916,9.872187964583336
1917,9.960000000000003
1918,10.330001570750001
1919,10.183453661000001
1920,10.057711872500002
1921,10.330000000000002
1922,10.070000000000002
1923,10.244029847833335
1924,9.927687774833332
1925,10.634888275000002
1926,10.163224104500001
1927,10.37266169366667
1928,10.387834105416669
1929,9.947352621333332
1930,10.332777578666665
1931,10.120000000000001
1932,10.258433904166667
1933,10.544849904916667
1934,10.410000000000002
1935,10.088614028166667
1936,10.088287386666666
1937,9.848133312583334
1938,10.32930314141667
1939,10.214508585750002
1940,9.90990150025
1941,10.421915860333332
1942,10.129388047583332
1943,9.875543906
1944,10.186428482166669
1945,9.991405247666668
1946,10.37935927575
1947,9.955769947416666
1948,9.963996867
1949,10.190364780333336
1950,9.68410549575
1951,9.9030664155
1952,10.280232625333332
1953,10.661071507916668
1954,10.498241329666667
1955,9.91460492825
1956,10.010350976416666
1957,10.538626322583331
1958,10.492167480833333
1959,10.50609556425
1960,10.080034537666666
1961,10.454054367416669
1962,10.18245424925
1963,10.25855625875
1964,10.120422711416667
1965,10.169363946
1966,10.089518506916669
1967,10.41647104425
1968,10.123663310166666
1969,9.8210483205
1970,9.95060676875
1971,10.167612637666666
1972,10.146226188
1973,10.582893408833334
1974,10.421255199416668
1975,10.38981273825
1976,9.999283852083332
1977,10.5590079375
1978,9.954973807083332
1979,10.075397550166668
1980,10.376694485666668
1981,10.696318182666667
1982,10.118786154
1983,10.49212537275
1984,10.1809950795
1985,9.990336351916666
1986,10.613031447333332
1987,10.5818222495
1988,10.67629133025
1989,10.5034810075
1990,10.986814187250001
1991,10.83945258225
1992,10.59944282875
1993,10.398461653916668
1994,10.834083908916668
1995,10.943601943166666
1996,10.510477820999998
1997,10.774630905333332
1998,11.409638013416666
1999,11.225838447333333
2000,11.002266260166666
2001,11.136089664000002
2002,11.136609042583332
2003,10.979274030249998
2004,10.953501445916666
2005,11.13896333475
2006,11.355624466499998
2007,11.33004702575
2008,10.81962574525
2009,10.780977841666669
2010,10.914395831916666
2011,11.159243353416668
2012,11.578778011916668
2013,10.791184287666669
2014,10.938393851416665
2015,11.569832537833332
2016,11.6633184875
2017,11.4407751365
2018,11.026978001583332
2019,11.17679766925
2020,11.948741561666669
2021,11.709590767416666
2022,11.630686386166667
2023,12.1190198685
2024,12.011635903857142
